addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80014004	20	func_80014004	low	0	u32	1	0	0		leaf|gp|orphan
0x80014018	72	func_80014018	low	0	u32	3	1	0	ra	gp|orphan
0x80014060	40	func_80014060	low	1	u32	2	0	0		leaf|orphan
0x80014088	64	func_80014088	medium	1	u32	5	1	24	ra	orphan
0x800140C8	100	func_800140C8	medium	0	u32	1	3	24	s0|ra	gp|orphan
0x8001412C	200	func_8001412C	medium	1	u32	3	5	32	s0|s1|ra	gp|orphan
0x800141F4	108	func_800141F4	medium	0	u32	2	3	24	s0|ra	gp|orphan
0x80014260	920	func_80014260	medium	1	u32	1	2	64	s0|s1|ra	orphan
0x800145F8	332	func_800145F8	low	1	u32	1	0	0		leaf|orphan
0x80014744	16	func_80014744	low	4	void	1	0	0		leaf|orphan
0x80014754	40	func_80014754	low	1	u32	2	0	0		leaf|orphan
0x8001477C	28	func_8001477C	low	1	u32	2	0	0		leaf|orphan
0x80014798	144	func_80014798	low	4	u32	1	0	0		leaf|orphan
0x80014828	904	func_80014828	medium	2	u32	1	6	160	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80014BB0	176	func_80014BB0	low	4	u32	1	0	0		leaf|orphan
0x80014C60	112	func_80014C60	medium	4	u32	2	1	40	s0|s1|s2|s3|ra	orphan
0x80014CD0	56	func_80014CD0	medium	0	void	1	1	24	s0|ra	gp|orphan
0x80014D08	60	func_80014D08	medium	0	void	1	2	24	s0|ra	gp|orphan
0x80014D44	516	func_80014D44	medium	1	u32	1	10	40	s0|s1|s2|s3|s4|ra	gp|orphan|indirect
0x80015014	252	func_80015014	medium	3	u32	1	4	72	s0|s1|s2|s3|ra	gp|orphan
0x80015110	260	func_80015110	medium	3	u32	1	2	56	s0|s1|s2|ra	orphan
0x8001529C	248	func_8001529C	medium	4	u32	4	2	40	s0|s1|s2|s3|s4|ra	orphan
0x80015394	348	func_80015394	medium	2	u32	1	2	32	s0|s1|ra	orphan
0x800154F0	548	func_800154F0	medium	2	u32	1	2	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gte|orphan
0x80015714	1444	func_80015714	medium	4	u32	13	11	120	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gp|orphan
0x80015CB8	76	func_80015CB8	medium	4	void	6	2	32	s0|s1|ra	orphan
0x80015F10	1072	func_80015F10	low	1	u32	0	7	0	s0|s1|s2|s3|ra	orphan
0x80016340	360	func_80016340	medium	0	u32	1	4	40	s0|s1|s2|s3|s4|ra	orphan
0x800165B0	164	func_800165B0	medium	2	u32	5	3	32	s0|s1|ra	orphan
0x80016654	436	func_80016654	medium	3	u32	1	3	72	s0|s1|s2|s3|s4|s5|s6|s7|ra	orphan
0x80016808	208	func_80016808	low	2	u32	1	0	0		leaf|orphan
0x800168D8	236	func_800168D8	medium	1	u32	1	2	40	s0|s1|s2|s3|ra	break|orphan
0x80016A28	200	func_80016A28	medium	3	u32	3	2	40	s0|s1|s2|s3|ra	orphan
0x80016AF0	16	func_80016AF0	low	3	void	1	0	0		leaf|orphan
0x80016B00	88	func_80016B00	medium	1	void	0	2	24	s0|ra	orphan
0x80016B58	1816	func_80016B58	medium	2	u32	1	8	168	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break|gp|orphan
0x80017270	32	func_80017270	low	2	u32	15	0	0		leaf|orphan
0x80017290	60	func_80017290	low	2	u32	3	0	0		leaf|break|orphan
0x800172CC	64	func_800172CC	low	2	u32	5	0	0		leaf|gte|orphan
0x8001730C	64	func_8001730C	low	2	u32	1	0	0		leaf|gte|orphan
0x8001734C	72	func_8001734C	low	1	u32	1	0	0		leaf|gte|orphan
0x80017394	124	func_80017394	low	3	u32	1	0	0		leaf|gte|orphan
0x80017410	84	func_80017410	low	3	u32	4	0	0		leaf|gte|orphan
0x80017464	64	func_80017464	low	3	u32	4	0	0		leaf|orphan
0x800174A4	64	func_800174A4	low	3	u32	3	0	0		leaf|orphan
0x800174E4	288	func_800174E4	medium	4	u32	1	6	64	s0|s1|s2|s3|s4|s5|ra	orphan
0x80017604	120	func_80017604	medium	2	u32	16	4	40	s0|s1|ra	orphan
0x8001767C	160	func_8001767C	medium	3	u32	6	5	48	s0|s1|s2|ra	orphan
0x8001771C	56	func_8001771C	medium	3	u32	1	1	24	ra	orphan
0x80017754	68	func_80017754	low	3	u32	1	0	0		leaf|orphan
0x80017798	284	func_80017798	medium	3	u32	1	1	32	s0|s1|ra	orphan
0x800178B4	112	func_800178B4	low	1	u32	1	0	0		leaf|orphan
0x80017924	76	func_80017924	low	3	u32	1	0	0		leaf|orphan
0x80017970	252	func_80017970	low	3	u32	1	0	0		leaf|orphan
0x80017A6C	44	func_80017A6C	low	3	u32	1	0	0		leaf|orphan
0x80017A98	44	func_80017A98	low	3	u32	1	0	0		leaf|orphan
0x80017AC4	64	func_80017AC4	low	3	u32	1	0	0		leaf|orphan
0x80017B04	68	func_80017B04	low	3	u32	1	0	0		leaf|gp|orphan
0x80017B48	84	func_80017B48	low	3	u32	1	0	0		leaf|orphan
0x80017B9C	268	func_80017B9C	low	3	u32	1	0	0		leaf|orphan
0x80017CA8	60	func_80017CA8	low	3	u32	1	0	0		leaf|orphan
0x80017CE4	196	func_80017CE4	low	3	u32	1	0	0		leaf|orphan
0x80017DA8	192	func_80017DA8	low	3	u32	1	0	0		leaf|orphan
0x80017E68	160	func_80017E68	low	3	u32	1	0	0		leaf|orphan
0x80017F08	172	func_80017F08	low	3	u32	1	1	0	ra	gp|orphan
0x80017FB4	72	func_80017FB4	low	3	u32	1	0	0		leaf|orphan
0x80017FFC	248	func_80017FFC	medium	0	u32	0	2	40	s0|ra	orphan
0x800180F4	228	func_800180F4	medium	2	u32	1	7	112	s0|s1|ra	gp|orphan
0x800181D8	140	func_800181D8	low	2	u32	1	0	0		leaf|orphan
0x80018264	740	func_80018264	medium	3	u32	1	25	312	s0|s1|s2|ra	orphan
0x80018548	148	func_80018548	medium	0	void	0	2	40	s0|s1|s2|s3|ra	orphan
0x800185DC	168	func_800185DC	medium	1	u32	1	1	24	ra	orphan
0x80018684	172	func_80018684	medium	2	u32	1	3	32	s0|s1|s2|ra	orphan
0x80018730	360	func_80018730	low	3	u32	1	4	0	s0|s1|s2|s3|s4|s5|s6|s7|ra	orphan
0x80018898	280	func_80018898	medium	2	u32	1	3	40	s0|s1|s2|s3|s4|ra	orphan
0x800189B0	208	func_800189B0	medium	0	u32	1	3	48	s0|s1|s2|s3|s4|s5|ra	orphan
0x80018A80	1508	func_80018A80	medium	1	u32	2	4	72	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80019064	136	func_80019064	medium	2	u32	1	1	24	ra	orphan
0x800190EC	528	func_800190EC	medium	1	u32	2	4	40	s0|s1|s2|s3|ra	orphan
0x800192FC	196	func_800192FC	medium	1	u32	1	3	32	s0|s1|s2|ra	orphan
0x800193C0	524	func_800193C0	medium	1	u32	7	8	32	s0|s1|ra	orphan
0x800195CC	572	func_800195CC	medium	3	u32	8	3	48	s0|s1|s2|s3|s4|s5|ra	orphan
0x80019808	216	func_80019808	low	1	u32	1	0	0		leaf|orphan
0x800198E0	540	func_800198E0	medium	1	u32	1	2	40	s0|s1|ra	orphan
0x80019AFC	448	func_80019AFC	medium	1	u32	1	4	72	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	orphan
0x80019CBC	336	func_80019CBC	medium	1	u32	1	6	40	s0|s1|s2|s3|ra	orphan
0x80019E0C	380	func_80019E0C	low	0	u32	2	9	0	s0|ra	gp|orphan
0x80019F88	440	func_80019F88	medium	0	u32	2	7	24	ra	gp|orphan
0x8001A140	40	func_8001A140	low	3	u32	5	0	0		leaf|orphan
0x8001A168	208	func_8001A168	medium	0	u32	0	7	48	s0|ra	gp|orphan
0x8001A238	868	func_8001A238	medium	4	u32	0	4	72	s0|s1|s2|s3|s4|s5|s6|s7|ra	gp|orphan
0x8001A64C	76	func_8001A64C	low	2	u32	4	1	0	s0|ra	orphan
0x8001A698	56	func_8001A698	low	3	u32	2	0	0		leaf|orphan
0x8001A6D0	52	func_8001A6D0	low	3	u32	3	0	0		leaf|orphan
0x8001A704	404	func_8001A704	medium	1	u32	1	3	40	s0|s1|s2|s3|ra	orphan
0x8001AD88	36	func_8001AD88	medium	1	void	1	1	24	ra	orphan
0x8001ADAC	348	func_8001ADAC	low	2	u32	5	2	0	s0|s1|s2|ra	orphan
